92.0,93.0,83.83,36.4,83.83,68.2,11.8,LW,92
57.5,50.6,20.17,20.0,37.67,56.0,88.8,GK,91
77.0,84.8,85.33,58.6,89.67,78.4,11.2,CM,91
91.0,93.6,83.17,37.0,84.0,70.0,9.0,LF,91
76.0,92.0,78.33,69.4,87.0,72.2,10.4,CM,91
80.5,86.8,88.17,52.6,79.5,82.8,30.6,RS,91
75.5,75.2,66.5,90.2,71.67,86.0,9.2,CB,91
51.5,46.0,13.33,18.2,27.5,59.8,86.6,GK,90
77.5,84.0,88.5,43.8,75.0,82.4,10.2,ST,90
68.0,65.2,49.5,89.6,59.33,83.2,9.8,CB,90
80.0,85.2,64.33,82.4,68.67,84.8,10.8,DM,89
85.0,89.2,85.33,32.6,84.5,70.4,5.2,LF,89
70.0,79.4,89.0,50.0,77.17,83.2,10.8,ST,89
86.5,87.6,84.83,54.6,81.0,78.2,12.6,CAM,89
44.0,40.0,16.0,16.2,32.0,61.0,87.0,GK,89
49.0,45.2,19.83,16.4,27.5,53.0,84.4,GK,89
51.0,74.6,60.5,82.2,75.67,80.8,9.6,CDM,89
75.5,77.8,87.17,54.6,71.67,84.8,10.6,LS,89
84.0,89.0,87.33,32.6,75.5,77.0,11.8,ST,89
69.0,61.2,47.17,89.4,52.83,83.8,3.0,CB,89
92.5,89.4,79.0,47.2,76.17,75.2,12.4,RM,88
62.0,71.8,68.67,85.6,71.5,87.0,13.4,CDM,88
70.0,83.8,85.33,50.8,87.67,68.6,12.8,LAM,88
90.0,90.6,75.67,35.8,83.33,57.8,9.0,LW,88
72.0,88.6,75.67,58.8,83.33,67.4,10.2,LW,88
74.0,84.6,80.0,49.2,88.5,66.8,8.6,CAM,88
82.0,90.2,80.67,50.6,86.17,68.6,9.6,LW,88
58.5,71.8,60.17,89.0,71.17,75.6,8.4,CB,88
82.5,88.4,70.17,80.4,80.67,83.0,7.2,LB,88
94.5,80.8,85.83,60.8,84.67,78.6,10.4,ST,88
73.0,79.8,85.0,35.0,68.67,74.0,7.8,LS,88
71.0,72.0,59.83,86.4,69.5,80.6,9.0,CB,88
53.0,38.8,16.33,16.0,24.83,56.8,84.0,GK,88
46.0,47.4,19.67,15.2,28.0,58.2,84.4,GK,88
72.0,72.4,66.17,86.2,69.17,82.8,13.2,CB,87
77.5,79.6,84.0,40.4,56.67,76.6,8.6,ST,87
